"age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country"
"22","Private","54825","HS-grad","9","Never-married","Sales","Not-in-family","White","Male","0","0","40","United-States"
"46","Local-gov","133969","Masters","14","Divorced","Prof-specialty","Not-in-family","Amer-Indian-Eskimo","Male","0","0","40","United-States"
"29","Private","24562","Bachelors","13","Divorced","Other-service","Unmarried","Other","Female","0","0","40","United-States"
"45","Private","357540","Bachelors","13","Married-civ-spouse","Sales","Husband","White","Male","0","2002","55","United-States"
"30","Private","55481","Masters","14","Never-married","Tech-support","Unmarried","White","Male","0","0","45","Nicaragua"
"42","Private","111589","Assoc-voc","11","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","40","United-States"
"44","Private","106900","HS-grad","9","Married-civ-spouse","Sales","Husband","White","Male","0","0","68","United-States"
"45","Private","186272","HS-grad","9","Married-civ-spouse","Handlers-cleaners","Husband","Black","Male","7298","0","40","United-States"
"67","Self-emp-inc","106175","Bachelors","13","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","2392","75","United-States"
"21","Private","161210","HS-grad","9","Married-civ-spouse","Machine-op-inspct","Husband","White","Male","0","0","50","United-States"
"25","Private","231638","Some-college","10","Never-married","Tech-support","Unmarried","White","Female","0","0","24","United-States"
"25","Private","404951","Bachelors","13","Never-married","Exec-managerial","Not-in-family","Black","Female","0","0","38","United-States"
"63","Private","163809","Some-college","10","Widowed","Sales","Not-in-family","White","Female","0","0","20","United-States"
"36","Private","191146","Some-college","10","Divorced","Sales","Unmarried","Black","Female","0","0","38","United-States"
"36","Private","46756","Some-college","10","Never-married","Craft-repair","Not-in-family","White","Male","0","0","50","United-States"
"43","State-gov","164790","Some-college","10","Divorced","Adm-clerical","Not-in-family","Black","Male","0","0","50","United-States"
"36","Private","76417","HS-grad","9","Married-civ-spouse","Craft-repair","Husband","White","Male","0","0","52","United-States"
"20","Private","411862","Assoc-voc","11","Never-married","Other-service","Not-in-family","White","Male","0","0","30","United-States"
"22","Private","54560","HS-grad","9","Married-civ-spouse","Transport-moving","Husband","White","Male","0","0","60","United-States"
"33","Private","206051","HS-grad","9","Married-civ-spouse","Craft-repair","Husband","White","Male","0","0","40","United-States"
