"age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country"
"45","Private","272442","Masters","14","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","0","50","United-States"
"22","Private","369387","11th","7","Married-civ-spouse","Craft-repair","Husband","White","Male","0","0","35","United-States"
"49","Private","723746","HS-grad","9","Married-civ-spouse","Craft-repair","Husband","White","Male","0","0","43","United-States"
"38","Private","213512","Some-college","10","Married-civ-spouse","Sales","Husband","White","Male","0","0","50","United-States"
"47","Self-emp-not-inc","160131","Some-college","10","Divorced","Craft-repair","Not-in-family","White","Male","0","0","40","United-States"
"29","Private","180299","Some-college","10","Married-civ-spouse","Transport-moving","Husband","White","Male","0","0","35","United-States"
"26","Private","169121","Bachelors","13","Married-civ-spouse","Sales","Husband","White","Male","0","0","48","United-States"
"58","Local-gov","32855","HS-grad","9","Married-civ-spouse","Transport-moving","Husband","White","Male","0","0","48","United-States"
"26","State-gov","287420","Bachelors","13","Never-married","Prof-specialty","Not-in-family","White","Female","0","0","60","United-States"
"62","Local-gov","136787","HS-grad","9","Divorced","Transport-moving","Other-relative","White","Male","0","0","40","United-States"
"18","Private","205004","Some-college","10","Never-married","Other-service","Own-child","White","Male","0","0","26","United-States"
"27","Private","37088","Bachelors","13","Married-civ-spouse","Tech-support","Husband","White","Male","0","0","30","United-States"
"35","Federal-gov","105138","Prof-school","15","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","0","55","United-States"
"36","Private","31438","11th","7","Married-civ-spouse","Transport-moving","Husband","White","Male","0","0","43","United-States"
"26","Local-gov","288781","Bachelors","13","Never-married","Adm-clerical","Not-in-family","White","Male","0","0","42","United-States"
"53","Private","350510","5th-6th","3","Married-civ-spouse","Transport-moving","Husband","White","Male","0","0","40","United-States"
"40","Private","77975","Some-college","10","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","40","United-States"
"54","Private","133963","Some-college","10","Widowed","Sales","Unmarried","White","Female","0","0","20","United-States"
"18","Private","143450","Some-college","10","Never-married","Handlers-cleaners","Own-child","Black","Male","0","0","20","United-States"
"38","Self-emp-not-inc","140117","Some-college","10","Never-married","Other-service","Not-in-family","White","Female","0","0","20","United-States"
"26","Private","301563","HS-grad","9","Married-civ-spouse","Craft-repair","Husband","White","Male","0","0","40","United-States"
"38","Self-emp-not-inc","245090","Bachelors","13","Married-civ-spouse","Tech-support","Husband","White","Male","0","0","50","United-States"
"49","Self-emp-not-inc","165229","Assoc-voc","11","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","40","United-States"
"30","State-gov","136997","HS-grad","9","Divorced","Exec-managerial","Unmarried","White","Female","0","0","40","United-States"
"23","Private","148709","Bachelors","13","Never-married","Adm-clerical","Not-in-family","White","Female","0","0","38","United-States"
"38","Self-emp-not-inc","233571","HS-grad","9","Separated","Other-service","Unmarried","White","Female","0","0","40","United-States"
"30","Private","87418","Bachelors","13","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","45","United-States"
"29","Self-emp-inc","136277","HS-grad","9","Never-married","Exec-managerial","Not-in-family","Black","Female","0","0","16","United-States"
