age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,probability,prediction,batch_id,drift_strength
38,Private,117802,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,60,United-States,1,0.998789475960869,1,1,0.0
57,Self-emp-not-inc,247337,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,72,United-States,0,0.6308475413219238,0,1,0.0
27,Private,70034,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,0,0.027497253494318207,0,1,0.0
17,Private,333304,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,0,0.001892212767941548,0,1,0.0
55,Private,70088,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1,0.8930420977856195,1,1,0.0
35,Federal-gov,185053,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,0,0.162184863747345,0,1,0.0
45,Private,170871,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,60,United-States,1,0.997819405175131,1,1,0.0
27,Private,269246,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,3464,0,45,United-States,0,0.023680074134257656,0,1,0.0
62,Self-emp-not-inc,244953,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,20,United-States,0,0.06205900340841724,0,1,0.0
23,Private,137994,Some-college,10,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States,0,0.00517872137244083,0,1,0.0
27,Private,113501,Masters,14,Never-married,Adm-clerical,Own-child,White,Male,0,0,45,United-States,0,0.08478629407516836,0,1,0.0
32,Private,223212,Preschool,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,0,0.03196291295851643,0,1,0.0
34,,370209,HS-grad,9,Divorced,,Not-in-family,White,Male,0,0,40,United-States,0,0.059239167892324855,0,1,0.0
62,Private,311495,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0,0.15529553818802913,0,1,0.0
52,Private,113522,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,1,0.11193921817922352,0,1,0.0
53,State-gov,195690,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,50,United-States,1,0.9942450273694842,1,1,0.0
36,Private,215503,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,65,United-States,0,0.13814052439704677,0,1,0.0
53,Local-gov,146834,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,45,United-States,0,0.46799994360017655,0,1,0.0
25,Private,160445,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0,0.0461235491269688,0,1,0.0
17,,275778,9th,5,Never-married,,Own-child,White,Female,0,0,25,Mexico,0,0.0003739406772457126,0,1,0.0
19,,291509,12th,8,Never-married,,Own-child,White,Male,0,0,28,United-States,0,0.0024042045059137636,0,1,0.0
25,Private,263773,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1,0.5859723929168401,0,1,0.0
22,Private,189277,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,0,0.002484133349539005,0,1,0.0
38,Private,297449,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,50,United-States,1,0.9980035374999493,1,1,0.0
43,Private,118001,7th-8th,4,Separated,Farming-fishing,Not-in-family,Black,Male,0,0,40,United-States,0,0.028199494914504294,0,1,0.0
24,State-gov,413345,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,0,0.35646793529954846,0,1,0.0
49,State-gov,139268,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,70,United-States,1,0.5210837542723943,0,1,0.0
59,,424468,Bachelors,13,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,1,0.8445288481943312,1,1,0.0
29,Private,99369,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Other,Female,0,0,50,United-States,0,0.3976394606194286,0,1,0.0
63,Self-emp-not-inc,111306,7th-8th,4,Widowed,Farming-fishing,Unmarried,White,Female,0,0,10,United-States,0,0.012195676585168675,0,1,0.0
70,,158642,HS-grad,9,Widowed,,Not-in-family,White,Female,2993,0,20,United-States,0,0.004058386999909737,0,1,0.0
35,Self-emp-not-inc,171968,HS-grad,9,Separated,Transport-moving,Not-in-family,White,Male,0,0,70,United-States,0,0.186272477511482,0,1,0.0
53,Private,85423,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1,0.742581612746449,1,1,0.0
18,Private,39222,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0,0.0017310838250086207,0,1,0.0
41,State-gov,33474,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,0,0.8282579196657502,1,1,0.0
23,Private,490645,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,2829,0,42,United-States,0,0.00851991086872581,0,1,0.0
25,Private,123586,Some-college,10,Never-married,Adm-clerical,Unmarried,Other,Male,0,0,40,United-States,0,0.03311673921988791,0,1,0.0
20,,162667,11th,7,Never-married,,Unmarried,White,Male,0,0,40,El-Salvador,0,0.0025188931311327235,0,1,0.0
38,Self-emp-not-inc,31848,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,0,0.24736697513564998,0,1,0.0
53,Private,215572,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0,0.1301328596082114,0,1,0.0
39,Private,326342,11th,7,Married-civ-spouse,Other-service,Husband,Black,Male,2635,0,37,United-States,0,0.009484553118244305,0,1,0.0
37,Private,278924,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,0,0.13260671990924888,0,1,0.0
30,Private,196342,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,Ireland,0,0.24015907551245638,0,1,0.0
50,Private,165001,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0,0.8685973712433596,1,1,0.0
28,Private,212640,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,85,United-States,0,0.40425319969374923,0,1,0.0
20,,287681,Some-college,10,Never-married,,Own-child,White,Male,0,0,36,United-States,0,0.0027409825680953866,0,1,0.0
35,Private,184117,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0,0.07156233719527358,0,1,0.0
60,Federal-gov,286253,HS-grad,9,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0,0.10444854533780294,0,1,0.0
25,Private,269015,HS-grad,9,Never-married,Other-service,Other-relative,Black,Female,0,0,40,United-States,0,0.0040648845561326065,0,1,0.0
55,Local-gov,84564,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,39,United-States,0,0.5199966748677195,0,1,0.0
41,Private,94210,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,48,United-States,0,0.10636977384918056,0,1,0.0
20,Private,187592,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,0,0.004109998946234021,0,1,0.0
23,Private,209955,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,25,Canada,0,0.0063443385917016214,0,1,0.0
41,Private,169104,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,,1,0.824760337137792,1,1,0.0
17,Private,129396,11th,7,Never-married,Sales,Other-relative,White,Female,0,0,26,United-States,0,0.0010567451024863996,0,1,0.0
55,Private,89182,12th,8,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,Italy,0,0.029099563125967096,0,1,0.0
