age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,probability,prediction,batch_id,drift_strength
34,Private,324654,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,0,0,40,China,0,0.024754435205789824,0,3,0.4
45,Private,155659,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,1,0.8838942287559302,1,3,0.4
64,Private,43738,Doctorate,16,Widowed,Prof-specialty,Not-in-family,White,Male,0,0,80,United-States,1,0.7463648122467395,1,3,0.4
59,Private,184579,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,10886,0,75,United-States,0,0.9992401979022787,1,3,0.4
37,Private,169323,Bachelors,13,Married-civ-spouse,Exec-managerial,Own-child,White,Female,8267,0,55,United-States,0,0.9974646783207283,1,3,0.4
54,Private,184682,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Female,12389,0,45,United-States,0,0.9988444514769471,1,3,0.4
30,Private,206325,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0,0.3168662737135227,0,3,0.4
42,Local-gov,194417,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,1,0.8386676217721317,1,3,0.4
63,Local-gov,41161,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,0,0.7540060222017183,1,3,0.4
49,Private,116409,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,9295,0,55,United-States,1,0.9990045549840476,1,3,0.4
55,State-gov,136819,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,43,United-States,1,0.800638912576518,1,3,0.4
20,Private,125010,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,0,0.0015418019188103897,0,3,0.4
36,Private,281356,1st-4th,2,Never-married,Farming-fishing,Not-in-family,Other,Male,2343,0,81,Mexico,0,0.006312670461891871,0,3,0.4
53,Private,172991,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,25,United-States,0,0.530747721530352,0,3,0.4
37,Private,77698,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,3624,0,55,Philippines,0,0.008016188123978635,0,3,0.4
57,Federal-gov,40103,10th,6,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,35,United-States,0,0.22136939068471623,0,3,0.4
51,Self-emp-not-inc,268639,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2057,60,Canada,0,0.0329005222893959,0,3,0.4
22,Private,190968,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0,0.059415671445611745,0,3,0.4
59,Private,193568,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,0,0.038292557782804555,0,3,0.4
70,Private,105239,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,7170,0,55,United-States,0,0.9736390417085748,1,3,0.4
21,Private,118712,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,1504,40,United-States,0,0.015697750145054448,0,3,0.4
32,Private,174704,11th,7,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,United-States,0,0.0126991218535014,0,3,0.4
48,Private,395368,Some-college,10,Divorced,Handlers-cleaners,Other-relative,Black,Male,0,0,40,United-States,0,0.0463963346027112,0,3,0.4
32,State-gov,349365,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,14030,0,55,United-States,0,0.9980598327764575,1,3,0.4
51,Self-emp-inc,233117,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,5822,0,55,United-States,1,0.9955038312531194,1,3,0.4
33,Private,285127,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Female,12248,0,55,United-States,0,0.9968680200786886,1,3,0.4
39,Federal-gov,219137,Assoc-acdm,12,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0,0.06171558590496773,0,3,0.4
23,Private,227594,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,0,0.0064814705892376175,0,3,0.4
27,Local-gov,331046,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,0,0.05995756300584606,0,3,0.4
35,Private,190895,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,0,0.7475093451056294,1,3,0.4
43,Private,227325,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,13538,0,55,United-States,0,0.9986805203776623,1,3,0.4
22,Private,186365,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0,0.01038071197158703,0,3,0.4
52,Private,89041,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1,0.8492525933092631,1,3,0.4
31,Self-emp-not-inc,119411,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,60,United-States,1,0.5137929119485334,0,3,0.4
79,Private,366425,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Male,99999,0,75,United-States,1,0.9941340155129434,1,3,0.4
37,Private,160261,Some-college,10,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,11038,0,55,China,0,0.9972977049850159,1,3,0.4
55,Private,176904,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,0,0.5131554108669368,0,3,0.4
52,Private,92649,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,2567,0,55,United-States,0,0.011131226108949345,0,3,0.4
44,Private,178623,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Female,2441,0,61,Trinadad&Tobago,0,0.02013721945501697,0,3,0.4
42,Private,240628,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,1,0.9197555390355843,1,3,0.4
46,Private,190115,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,0.7916234348408079,1,3,0.4
43,State-gov,107439,Some-college,10,Never-married,Other-service,Not-in-family,Black,Female,0,0,30,United-States,0,0.016576455158971957,0,3,0.4
47,Local-gov,251588,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,1,0.8806763751213008,1,3,0.4
40,Private,103389,Masters,14,Divorced,Sales,Own-child,White,Female,2735,0,55,United-States,0,0.03092745283142773,0,3,0.4
20,Private,121568,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,0,0.03323204117380714,0,3,0.4
47,Private,145886,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,0,0.05057295800635516,0,3,0.4
37,Private,280282,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,24,United-States,1,0.7991141244951174,1,3,0.4
55,Private,346189,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,14249,0,65,United-States,1,0.9992521504457247,1,3,0.4
45,Private,245659,Some-college,10,Separated,Other-service,Unmarried,White,Female,757,0,53,El-Salvador,0,0.01347156070364252,0,3,0.4
50,Self-emp-not-inc,53628,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,White,Male,13798,0,50,United-States,0,0.9980392213142264,1,3,0.4
35,Private,148903,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,0,0.045769377749437,0,3,0.4
46,Private,96773,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.646405520801671,1,3,0.4
34,Private,31740,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,0.10378998071738416,0,3,0.4
50,Self-emp-not-inc,279129,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,United-States,0,0.7019047918052616,1,3,0.4
